,Master,Sub.plate,Treatment,Strain,OD,Read,Time
188,2,1,Basal,ECOR29,0.5941,24,27.92014667
189,2,1,Basal,ECOR29,0.5449,32,37.37118824
190,2,1,Basal,ECOR29,0.2621,6,6.689502757
191,2,1,Basal,ECOR29,0.4231,10,11.39978014
192,2,1,Basal,ECOR29,0.5403,33,38.54869686
193,2,1,Basal,ECOR29,0.5196,36,42.11703215
194,2,1,Basal,ECOR29,0.5257,35,40.90787049
195,2,1,Basal,ECOR29,0.5442,14,16.11226762
196,2,1,Basal,ECOR29,0.597,21,24.3853681
197,2,1,Basal,ECOR29,0.0422,1,0.807139245
198,2,1,Basal,ECOR29,0.5772,17,19.65575492
199,2,1,Basal,ECOR29,0.5539,30,35.00407165
200,2,1,Basal,ECOR29,0.4808,41,48.00529283
201,2,1,Basal,ECOR29,0.0786,3,3.151891344
202,2,1,Basal,ECOR29,0.4919,12,13.76107469
203,2,1,Basal,ECOR29,0.3846,9,10.21179192
204,2,1,Basal,ECOR29,0.5941,23,26.74297164
205,2,1,Basal,ECOR29,0.5965,22,25.56216303
206,2,1,Basal,ECOR2,0.3063,7,7.861422553
207,2,1,Basal,ECOR2,0.5545,31,36.19447223
208,2,1,Basal,ECOR2,0.4525,10,11.40000889
209,2,1,Basal,ECOR2,0.5529,15,17.2890929
210,2,1,Basal,ECOR2,0.5396,33,38.54892584
211,2,1,Basal,ECOR2,0.5545,34,39.71955406
212,2,1,Basal,ECOR2,0.188,4,4.329514076
213,2,1,Basal,ECOR2,0.4002,9,10.21202063
214,2,1,Basal,ECOR2,0.5732,29,33.8166003
215,2,1,Basal,ECOR2,0.556,32,37.37141704
216,2,1,Basal,ECOR2,0.5611,21,24.38559686
217,2,1,Basal,ECOR2,0.2358,5,5.51264537
218,2,1,Basal,ECOR2,0.4832,11,12.5886556
219,2,1,Basal,ECOR2,0.5633,22,25.56239179
220,2,1,Basal,ECOR2,0.567,18,20.82816247
221,2,1,Basal,ECOR2,0.5801,28,32.63461827
222,2,1,Basal,ECOR2,0.504,40,46.83777089
223,2,1,Basal,ECOR2,0.5614,30,35.00430041
224,2,1,Basal,ECOR2,0.35,8,9.034372532
225,2,1,Basal,ECOR2,0.5812,23,26.74320039
226,2,1,Basal,ECOR2,0.5182,12,13.7613034
227,2,1,Basal,ECOR2,0.5685,17,19.65598385
228,2,1,Basal,ECOR2,0.5236,39,45.67180583
229,2,1,Basal,ECOR2,0.5176,38,44.48861322
230,2,1,Basal,ECOR2,0.565,20,23.21223671
231,2,1,Basal,ECOR2,0.5473,14,16.11249647
232,2,1,Basal,ECOR2,0.5312,13,14.93201548
233,2,1,Basal,ECOR2,0.5755,27,31.4582466
234,2,1,Basal,ECOR2,0.2674,6,6.689731466
235,2,1,Basal,ECOR2,0.0987,3,3.152120053
236,2,1,Basal,ECOR2,0.5632,19,22.02855697
237,2,1,Basal,ECOR2,0.5682,24,27.92037547
238,2,1,Basal,ECOR2,0.5413,37,43.29926099
239,2,1,Basal,ECOR2,0.5618,16,18.47054123
240,2,1,Basal,ECOR2,0.5034,41,48.00552172
241,2,1,Basal,ECOR2,0.5587,26,30.28563064
242,2,1,Basal,ECOR2,0.556,35,40.90809929
243,2,1,Basal,ECOR2,0.5805,36,42.11726118
244,2,1,Basal,ECOR2,0.0496,2,1.978353909
245,2,1,Basal,ECOR2,0.5774,25,29.10460743
246,2,1,Basal,ECOR2,0.0438,1,0.807367954
247,2,1,Basal,ECOR21,0.5446,20,23.21246547
248,2,1,Basal,ECOR21,0.436,34,39.71978286
249,2,1,Basal,ECOR21,0.0423,1,0.807596664
250,2,1,Basal,ECOR21,0.5475,18,20.82839122
251,2,1,Basal,ECOR21,0.4279,35,40.90832809
252,2,1,Basal,ECOR21,0.4109,37,43.29948979
253,2,1,Basal,ECOR21,0.5454,19,22.02878591
254,2,1,Basal,ECOR21,0.3947,39,45.67203463
255,2,1,Basal,ECOR21,0.5392,13,14.93224419
256,2,1,Basal,ECOR21,0.476,29,33.8168291
257,2,1,Basal,ECOR21,0.121,4,4.329742831
258,2,1,Basal,ECOR21,0.3909,40,46.83799973
259,2,1,Basal,ECOR21,0.5479,15,17.28932161
260,2,1,Basal,ECOR21,0.5074,10,11.40023765
261,2,1,Basal,ECOR21,0.5517,16,18.47076994
262,2,1,Basal,ECOR21,0.5083,25,29.10483618
263,2,1,Basal,ECOR21,0.4851,28,32.63484703
264,2,1,Basal,ECOR21,0.5362,21,24.38582561
265,2,1,Basal,ECOR21,0.2016,5,5.512874079
266,2,1,Basal,ECOR21,0.523,12,13.76153211
267,2,1,Basal,ECOR21,0.4504,32,37.37164584
268,2,1,Basal,ECOR21,0.5172,24,27.92060427
269,2,1,Basal,ECOR21,0.459,31,36.19470103
270,2,1,Basal,ECOR21,0.4412,33,38.54915482
271,2,1,Basal,ECOR21,0.3347,7,7.861651263
272,2,1,Basal,ECOR21,0.4197,36,42.11749021
273,2,1,Basal,ECOR21,0.4039,8,9.034601241
274,2,1,Basal,ECOR21,0.0442,2,1.978582664
275,2,1,Basal,ECOR21,0.4004,38,44.48884202
276,2,1,Basal,ECOR21,0.4922,27,31.4584754
277,2,1,Basal,ECOR21,0.5423,14,16.11272532
278,2,1,Basal,ECOR21,0.5242,23,26.74342915
279,2,1,Basal,ECOR21,0.4372,9,10.21224934
280,2,1,Basal,ECOR21,0.5522,17,19.65621279
281,2,1,Basal,ECOR21,0.5035,26,30.2858594
282,2,1,Basal,ECOR21,0.5285,11,12.5888844
283,2,1,Basal,ECOR21,0.531,22,25.56262054
284,2,1,Basal,ECOR21,0.0618,3,3.152348762
285,2,1,Basal,ECOR21,0.467,30,35.00452916
286,2,1,Basal,ECOR21,0.2572,6,6.689960175
287,2,1,Basal,ECOR21,0.3828,41,48.00575061
288,2,1,Basal,ECOR57,0.3056,7,7.861879972
289,2,1,Basal,ECOR57,0.6104,19,22.02901484
290,2,1,Basal,ECOR57,0.4192,23,26.7436579
291,2,1,Basal,ECOR57,0.4116,29,33.8170579
292,2,1,Basal,ECOR57,0.5635,15,17.28955032
293,2,1,Basal,ECOR57,0.3804,36,42.11771924
294,2,1,Basal,ECOR57,0.8375,16,18.47099865
295,2,1,Basal,ECOR57,0.2241,5,5.513102788
296,2,1,Basal,ECOR57,0.3884,34,39.72001166
297,2,1,Basal,ECOR57,0.4102,28,32.63507578
298,2,1,Basal,ECOR57,0.518,20,23.21269422
299,2,1,Basal,ECOR57,0.1863,4,4.329971585
300,2,1,Basal,ECOR57,0.4181,22,25.5628493
301,2,1,Basal,ECOR57,0.9228,18,20.82861998
302,2,1,Basal,ECOR57,0.4226,24,27.92083307
303,2,1,Basal,ECOR57,0.2512,6,6.690188885
304,2,1,Basal,ECOR57,0.4037,31,36.19492983
305,2,1,Basal,ECOR57,0.359,39,45.67226343
306,2,1,Basal,ECOR57,0.4165,25,29.10506494
307,2,1,Basal,ECOR57,0.4131,26,30.28608815
308,2,1,Basal,ECOR57,0.3979,32,37.37187464
309,2,1,Basal,ECOR57,0.9827,12,13.76176081
310,2,1,Basal,ECOR57,0.1032,3,3.152577471
311,2,1,Basal,ECOR57,0.4298,9,10.21247805
312,2,1,Basal,ECOR57,0.4121,10,11.4004664
313,2,1,Basal,ECOR57,0.4096,30,35.00475792
314,2,1,Basal,ECOR57,0.6337,13,14.9324729
315,2,1,Basal,ECOR57,0.5644,11,12.5891132
316,2,1,Basal,ECOR57,0.4115,27,31.4587042
317,2,1,Basal,ECOR57,0.4305,21,24.38605437
318,2,1,Basal,ECOR57,0.9521,17,19.65644173
319,2,1,Basal,ECOR57,0.5799,14,16.11295416
320,2,1,Basal,ECOR57,0.0501,2,1.978811419
321,2,1,Basal,ECOR57,0.3774,8,9.03482995
322,2,1,Basal,ECOR57,0.3907,33,38.5493838
323,2,1,Basal,ECOR57,0.3409,41,48.00597951
324,2,1,Basal,ECOR57,0.3607,38,44.48907082
325,2,1,Basal,ECOR57,0.0444,1,0.807825373
326,2,1,Basal,ECOR57,0.3682,37,43.29971859
327,2,1,Basal,ECOR57,0.3481,40,46.83822858
328,2,1,Basal,ECOR57,0.386,35,40.90855689
329,2,1,Basal,ECOR24,0.6287,27,31.458933
330,2,1,Basal,ECOR24,0.6349,23,26.74388665
331,2,1,Basal,ECOR24,0.525,9,10.21270676
332,2,1,Basal,ECOR24,0.5502,10,11.40069516
333,2,1,Basal,ECOR24,0.198,4,4.33020034
334,2,1,Basal,ECOR24,0.586,12,13.76198952
335,2,1,Basal,ECOR24,0.5938,39,45.67249223
336,2,1,Basal,ECOR24,0.2545,5,5.513331497
337,2,1,Basal,ECOR24,0.6163,15,17.28977903
338,2,1,Basal,ECOR24,0.5951,37,43.29994739
339,2,1,Basal,ECOR24,0.6051,14,16.11318301
340,2,1,Basal,ECOR24,0.6121,33,38.54961279
341,2,1,Basal,ECOR24,0.62,29,33.8172867
342,2,1,Basal,ECOR24,0.569,11,12.589342
343,2,1,Basal,ECOR24,0.5926,38,44.48929962
344,2,1,Basal,ECOR24,0.5969,13,14.93270161
345,2,1,Basal,ECOR24,0.6329,24,27.92106187
346,2,1,Basal,ECOR24,0.427,7,7.862108681
347,2,1,Basal,ECOR24,0.6247,28,32.63530454
348,2,1,Basal,ECOR24,0.6344,21,24.38628312
349,2,1,Basal,ECOR24,0.0657,2,1.979040174
350,2,1,Basal,ECOR24,0.1141,3,3.152806181
351,2,1,Basal,ECOR24,0.5879,40,46.83845742
352,2,1,Basal,ECOR24,0.6307,18,20.82884873
353,2,1,Basal,ECOR24,0.6345,22,25.56307805
354,2,1,Basal,ECOR24,0.4878,8,9.035058659
355,2,1,Basal,ECOR24,0.6344,19,22.02924378
356,2,1,Basal,ECOR24,0.6206,30,35.00498667
357,2,1,Basal,ECOR24,0.0489,1,0.808054082
358,2,1,Basal,ECOR24,0.6183,32,37.37210344
359,2,1,Basal,ECOR24,0.3502,6,6.690417594
360,2,1,Basal,ECOR24,0.6216,16,18.47122736
361,2,1,Basal,ECOR24,0.6283,26,30.28631691
362,2,1,Basal,ECOR24,0.6374,20,23.21292298
363,2,1,Basal,ECOR24,0.6056,35,40.90878569
364,2,1,Basal,ECOR24,0.5977,36,42.11794827
365,2,1,Basal,ECOR24,0.6235,17,19.65667067
366,2,1,Basal,ECOR24,0.6063,34,39.72024046
367,2,1,Basal,ECOR24,0.6292,25,29.10529369
368,2,1,Basal,ECOR24,0.5861,41,48.0062084
369,2,1,Basal,ECOR24,0.6162,31,36.19515863
370,2,1,Basal,ECOR45,0.2134,4,4.330429095
371,2,1,Basal,ECOR45,0.5247,36,42.11817729
372,2,1,Basal,ECOR45,0.5502,32,37.37233224
373,2,1,Basal,ECOR45,0.5978,23,26.74411541
374,2,1,Basal,ECOR45,0.6078,19,22.02947272
375,2,1,Basal,ECOR45,0.5229,37,43.30017619
376,2,1,Basal,ECOR45,0.5139,39,45.67272103
377,2,1,Basal,ECOR45,0.6073,20,23.21315173
378,2,1,Basal,ECOR45,0.5733,28,32.63553329
379,2,1,Basal,ECOR45,0.589,15,17.29000774
380,2,1,Basal,ECOR45,0.4195,7,7.86233739
381,2,1,Basal,ECOR45,0.5229,9,10.21293547
382,2,1,Basal,ECOR45,0.1283,3,3.15303489
383,2,1,Basal,ECOR45,0.0457,1,0.808282791
384,2,1,Basal,ECOR45,0.4828,8,9.035287368
385,2,1,Basal,ECOR45,0.2571,5,5.513560206
386,2,1,Basal,ECOR45,0.5341,34,39.72046926
387,2,1,Basal,ECOR45,0.5761,13,14.93293032
388,2,1,Basal,ECOR45,0.5668,29,33.8175155
389,2,1,Basal,ECOR45,0.5852,14,16.11341185
390,2,1,Basal,ECOR45,0.5088,40,46.83868627
391,2,1,Basal,ECOR45,0.5627,30,35.00521543
392,2,1,Basal,ECOR45,0.6102,18,20.82907749
393,2,1,Basal,ECOR45,0.5868,26,30.28654566
394,2,1,Basal,ECOR45,0.5923,16,18.47145607
395,2,1,Basal,ECOR45,0.0648,2,1.979268929
396,2,1,Basal,ECOR45,0.5958,24,27.92129067
397,2,1,Basal,ECOR45,0.5844,27,31.4591618
